Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8
523648,Lotame Age Hierarchy^65+^Declared 65+^82,Lotame Age Hierarchy,65+,Declared 65+,82,,,,
677728,Lotame Data Selling Network - Location Hierarchy^Countries^South Africa,Lotame Data Selling Network - Location Hierarchy,Countries,South Africa,,,,,
3616352,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Bissau,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Bissau,,,,
764896,*Lotame Shopping & Retail^Purchase Intent^Health & Beauty^Personal Care^Sleeping Aids,*Lotame Shopping & Retail,Purchase Intent,Health & Beauty,Personal Care,Sleeping Aids,,,
523998,Lotame Category Hierarchy^Technographics^Browser^Safari,Lotame Category Hierarchy,Technographics,Browser,Safari,,,,
1049476,*Lotame B2B^Industry^Consumer Services,*Lotame B2B,Industry,Consumer Services,,,,,
52767,Lotame Action Hierarchy^Past Purchases,Lotame Action Hierarchy,Past Purchases,,,,,,
1049661,*Lotame B2B^Seniority^Mid-Management,*Lotame B2B,Seniority,Mid-Management,,,,,
52956,Lotame Category Hierarchy^Religion^Mormon,Lotame Category Hierarchy,Religion,Mormon,,,,,
52279,Lotame Category Hierarchy^Food & Beverages^Beverages^Non-Alcoholic Beverages,Lotame Category Hierarchy,Food & Beverages,Beverages,Non-Alcoholic Beverages,,,,
764613,"*Lotame Shopping & Retail^Purchase Intent^Food, Beverages & Tobacco^Beverages",*Lotame Shopping & Retail,Purchase Intent,"Food, Beverages & Tobacco",Beverages,,,,
52213,Lotame Category Hierarchy^Fashion & Beauty^Clothing^Men's Clothing,Lotame Category Hierarchy,Fashion & Beauty,Clothing,Men's Clothing,,,,
769093,*Lotame Shopping & Retail^Purchase Intent^Apparel & Accessories^Men's Apparel,*Lotame Shopping & Retail,Purchase Intent,Apparel & Accessories,Men's Apparel,,,,
204678,Lotame Category Hierarchy^Social Media^Pinterest,Lotame Category Hierarchy,Social Media,Pinterest,,,,,
525722,Lotame Action Hierarchy^Passive Actions^Connect^Pinterest,Lotame Action Hierarchy,Passive Actions,Connect,Pinterest,,,,
496686,Lotame Action Hierarchy^Influencer Actions^Shared Content^Shared to Pinterest,Lotame Action Hierarchy,Influencer Actions,Shared Content,Shared to Pinterest,,,,
52276,Lotame Category Hierarchy^Food & Beverages,Lotame Category Hierarchy,Food & Beverages,,,,,,
51613,Lotame Action Hierarchy^Influencer Actions^Uploaded Photo,Lotame Action Hierarchy,Influencer Actions,Uploaded Photo,,,,,
52316,Lotame Category Hierarchy^Food & Beverages^Recipes & Cooking,Lotame Category Hierarchy,Food & Beverages,Recipes & Cooking,,,,,
52293,Lotame Category Hierarchy^Food & Beverages^Cuisine^Mexican Cuisine,Lotame Category Hierarchy,Food & Beverages,Cuisine,Mexican Cuisine,,,,
51603,Lotame Action Hierarchy^Influencer Actions^Blogged,Lotame Action Hierarchy,Influencer Actions,Blogged,,,,,
51594,Lotame Action Hierarchy^Influencer Actions,Lotame Action Hierarchy,Influencer Actions,,,,,,
52262,Lotame Category Hierarchy^Finance^Personal Finance^Investing,Lotame Category Hierarchy,Finance,Personal Finance,Investing,,,,
525714,Lotame Action Hierarchy^Passive Actions^Connect^Facebook,Lotame Action Hierarchy,Passive Actions,Connect,Facebook,,,,
51732,Lotame Demographic Hierarchy^Vehicle Owners^Car Owners,Lotame Demographic Hierarchy,Vehicle Owners,Car Owners,,,,,
52019,Lotame Category Hierarchy^Automobiles^Automobile Types^Full-Sized Cars,Lotame Category Hierarchy,Automobiles,Automobile Types,Full-Sized Cars,,,,
782947,*Lotame Mobile^Demographics^Auto Owners^Full Size,*Lotame Mobile,Demographics,Auto Owners,Full Size,,,,
52370,Lotame Category Hierarchy^Games & Toys^Video Games^Video Game Genres^Strategy Video Games,Lotame Category Hierarchy,Games & Toys,Video Games,Video Game Genres,Strategy Video Games,,,
52349,Lotame Category Hierarchy^Games & Toys^Video Games^Video Game Genres^Adventure Video Games,Lotame Category Hierarchy,Games & Toys,Video Games,Video Game Genres,Adventure Video Games,,,
52364,Lotame Category Hierarchy^Games & Toys^Video Games^Video Game Genres^Puzzle Video Games,Lotame Category Hierarchy,Games & Toys,Video Games,Video Game Genres,Puzzle Video Games,,,
52346,Lotame Category Hierarchy^Games & Toys^Video Games^PC Games,Lotame Category Hierarchy,Games & Toys,Video Games,PC Games,,,,
