Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8,ShortName_General,ShortName_Specific,NEWID
51978,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Religious Literature",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Religious Literature,,,,,Literature,Religious Literature,51970
51977,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Magazines",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Magazines,,,,,Literature,Magazines,51970
51975,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Comic Book/Strips",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Comic Book/Strips,,,,,Literature,Comic Book/Strips,51970
51974,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Non[^]fiction^History Literature (Non-Fiction)",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Non-fiction,History Literature (Non-Fiction),,,Literature,Non-fiction,51970
51973,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Non[^]fiction^Family Literature (Non-Fiction)",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Non-fiction,Family Literature (Non-Fiction),,,Literature,Non-fiction,51970
51972,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Non[^]fiction^Biography Literature",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Non-fiction,Biography Literature,,,Literature,Non-fiction,51970
51971,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Non[^]fiction^Autobiography Literature",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Non-fiction,Autobiography Literature,,,Literature,Non-fiction,51970
51970,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Non[^]fiction",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Non-fiction,,,,Literature,Non-fiction,51970
51969,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Fiction^Science Fiction Literature",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Fiction,Science Fiction Literature,,,Literature,Fiction,51958
51968,"Lotame Category Hierarchy^Arts, Culture & Literature^Literature^Books^Fiction^Romance Literature",Lotame Category Hierarchy,"Arts, Culture & Literature",Literature,Books,Fiction,Romance Literature,,,Literature,Fiction,51958
